tx_rx_offset_m,tx_rx_offset_mm,velocity_m_per_ns,time_zero_ns,epsr,profile_score,mean_support_fraction,median_depth_m,valid_cue_count,file
0.0,0.0,0.08,0.11499999999999998,14.043049667762773,2.480949295260812,0.9712947658402205,0.023690766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.12249999999999998,14.043049667762773,2.473256246345731,0.9712947658402205,0.02339076620825148,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.13,14.043049667762773,2.464562926713397,0.9712947658402205,0.023090766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.1375,14.043049667762773,2.4951136657868624,0.9569421487603306,0.022790766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.14500000000000002,14.043049667762773,2.4851132153249016,0.9569421487603306,0.022490766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.15249999999999997,14.043049667762773,2.474986144940137,0.9569421487603306,0.022190766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.15999999999999998,14.043049667762773,2.46476742433725,0.9569421487603306,0.021890766208251478,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.16749999999999998,14.043049667762773,2.4545000394774594,0.9569421487603306,0.021590766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.175,14.043049667762773,2.4439820260071574,0.9569421487603306,0.021290766208251474,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.1825,14.043049667762773,2.433678548041312,0.9569421487603306,0.020990766208251476,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.19,14.043049667762773,2.423399192239342,0.9569421487603306,0.020690766208251478,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.1975,14.043049667762773,2.4127732375996853,0.9569421487603306,0.020390766208251473,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.20500000000000002,14.043049667762773,2.402038399151021,0.9569421487603306,0.02009076620825147,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.21250000000000002,14.043049667762773,2.3911195729204446,0.9569421487603306,0.019790766208251473,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.22000000000000003,14.043049667762773,2.3797812340408906,0.9569421487603306,0.019490766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.22749999999999998,14.043049667762773,2.4106011645619856,0.9425895316804408,0.019190766208251477,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.235,14.043049667762773,2.39849121059509,0.9425895316804408,0.018890766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.2425,14.043049667762773,2.3862206269218365,0.9425895316804408,0.018590766208251477,3,PROJECT001C__014.DZT
0.0,0.0,0.08,0.25,14.043049667762773,2.3739012049227237,0.9425895316804408,0.018290766208251475,3,PROJECT001C__014.DZT
0.0,0.0,0.0825,-0.05,13.204851110917428,2.5954755019836644,1.0,0.031237352652259336,3,PROJECT001C__014.DZT
0.0,0.0,0.0825,-0.0425,13.204851110917428,2.5908705287341465,1.0,0.030927977652259332,3,PROJECT001C__014.DZT
0.0,0.0,0.0825,-0.035,13.204851110917428,2.5860919939562854,1.0,0.030618602652259335,3,PROJECT001C__014.DZT
