config_key,background_mode,top_k,separation_profile,time_offset_family,case_count,all_truth_case_count,unique_all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_elapsed_time_s
median_top80_moderate12_wide,median,80,moderate12,wide,12,10,11,10,12,12,11,12,12,2.9166666666666665,0.9920990665753683
mean_top20_distinct20_baseline,mean,20,distinct20,baseline,12,9,10,12,10,11,12,10,12,2.8333333333333335,0.6169055302937826
mean_top40_distinct20_baseline,mean,40,distinct20,baseline,12,9,10,12,10,11,12,10,12,2.8333333333333335,0.6275633772214254
mean_top80_distinct20_baseline,mean,80,distinct20,baseline,12,9,10,12,10,11,12,10,12,2.8333333333333335,0.6159154375394186
none_top20_distinct20_wide,none,20,distinct20,wide,12,10,10,11,11,12,11,11,12,2.8333333333333335,0.9608533581097921
none_top40_distinct20_wide,none,40,distinct20,wide,12,10,10,11,11,12,11,11,12,2.8333333333333335,0.9670119285583496
none_top80_distinct20_wide,none,80,distinct20,wide,12,10,10,11,11,12,11,11,12,2.8333333333333335,0.9611163338025411
none_top20_distinct20_baseline,none,20,distinct20,baseline,12,9,9,11,10,12,11,10,12,2.75,0.6082112987836202
none_top40_distinct20_baseline,none,40,distinct20,baseline,12,9,9,11,10,12,11,10,12,2.75,0.6062872211138407
none_top80_distinct20_baseline,none,80,distinct20,baseline,12,9,9,11,10,12,11,10,12,2.75,0.6094991763432821
none_top20_moderate12_baseline,none,20,moderate12,baseline,12,9,9,9,12,12,9,12,12,2.75,0.6118710438410441
none_top20_moderate12_wide,none,20,moderate12,wide,12,9,9,9,12,12,9,12,12,2.75,0.9647726019223531
mean_top80_dense4_single667,mean,80,dense4,single667,12,7,8,7,12,11,8,12,12,2.6666666666666665,0.27495203415552777
median_top80_dense4_single667,median,80,dense4,single667,12,6,8,6,12,11,8,12,12,2.6666666666666665,0.2756977081298828
none_top80_dense4_baseline,none,80,dense4,baseline,12,8,8,8,12,12,8,12,12,2.6666666666666665,0.8496097723642985
mean_top20_moderate12_wide,mean,20,moderate12,wide,12,8,8,8,12,11,8,12,11,2.5833333333333335,0.9830700357755026
median_top20_distinct20_baseline,median,20,distinct20,baseline,12,6,7,10,9,11,10,10,11,2.5833333333333335,0.6173278292020162
median_top40_distinct20_baseline,median,40,distinct20,baseline,12,6,7,10,9,11,10,10,11,2.5833333333333335,0.6257750590642294
median_top80_distinct20_baseline,median,80,distinct20,baseline,12,6,7,10,9,11,10,10,11,2.5833333333333335,0.614700714747111
median_top20_moderate12_single667,median,20,moderate12,single667,12,7,7,8,12,11,8,12,11,2.5833333333333335,0.09111187855402629
mean_top20_moderate12_baseline,mean,20,moderate12,baseline,12,7,7,7,12,12,7,12,12,2.5833333333333335,0.6245878140131632
mean_top80_dense4_baseline,mean,80,dense4,baseline,12,7,7,7,12,12,7,12,12,2.5833333333333335,0.8593412240346273
median_top20_moderate12_wide,median,20,moderate12,wide,12,7,7,7,12,12,7,12,12,2.5833333333333335,0.9818071921666464
mean_top20_distinct20_wide,mean,20,distinct20,wide,12,7,7,11,8,11,11,8,11,2.5,0.9729789694150289
mean_top40_distinct20_wide,mean,40,distinct20,wide,12,7,7,11,8,11,11,8,11,2.5,0.9733512004216512
mean_top80_distinct20_wide,mean,80,distinct20,wide,12,7,7,11,8,11,11,8,11,2.5,0.970327615737915
median_top20_distinct20_wide,median,20,distinct20,wide,12,6,6,11,7,12,11,8,11,2.5,0.9710614879926046
median_top40_distinct20_wide,median,40,distinct20,wide,12,6,6,11,7,12,11,8,11,2.5,0.9712785681088766
median_top80_distinct20_wide,median,80,distinct20,wide,12,6,6,11,7,12,11,8,11,2.5,0.9659246206283569
median_top20_moderate12_baseline,median,20,moderate12,baseline,12,6,6,6,12,12,6,12,12,2.5,0.622754712899526
median_top80_dense4_baseline,median,80,dense4,baseline,12,6,6,6,12,12,6,12,12,2.5,0.8585797349611918
none_top80_dense4_single667,none,80,dense4,single667,12,6,6,6,12,11,6,12,12,2.5,0.2738690773646037
none_top20_distinct20_single667,none,20,distinct20,single667,12,6,6,10,12,6,10,12,6,2.3333333333333335,0.08774876594543457
none_top40_distinct20_single667,none,40,distinct20,single667,12,6,6,10,12,6,10,12,6,2.3333333333333335,0.08794305721918742
