experiment_id	path	size_bytes	file_count	has_run_manifest	data_file_count	figure_file_count	figure_notes_count	latest_mtime_utc
99	outputs/experiments/099_objective_variant_cli_cpu_smoke	125380	8	True	5	2	0	2026-05-30T10:51:31.594798+00:00
1000	outputs/experiments/1000_coordinate_optimizer_variable_depth_radius_seed1346269_target0_sources8_txrx52p5_ringdown050_objectives	2155228	16	True	9	5	1	2026-06-11T00:31:00.911109+00:00
1001	outputs/experiments/1001_coordinate_optimizer_variable_depth_radius_seed1346269_target2_sources5_txrx52p5_ringdown050_objectives	2158190	16	True	9	5	1	2026-06-11T00:30:57.065396+00:00
1002	outputs/experiments/1002_coordinate_optimizer_variable_depth_radius_seed1346269_target2_sources7_txrx60_ringdown050_objectives	2202058	16	True	9	5	1	2026-06-11T00:30:53.184180+00:00
1003	outputs/experiments/1003_coordinate_optimizer_variable_depth_radius_seed1346269_target1_sources5_txrx52p5_ringdown050_objectives	2264568	16	True	9	5	1	2026-06-11T00:30:49.359263+00:00
1004	outputs/experiments/1004_coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives	5391056	18	True	10	6	1	2026-06-12T06:29:04.562708+00:00
1005	outputs/experiments/1005_seed1346269_revised_txrx52p5_source_policy_summary	406476	10	True	3	5	1	2026-06-07T23:43:43.027653+00:00
1006	outputs/experiments/1006_coordinate_optimizer_variable_depth_radius_seed3524578_target2_sources5_txrx60_ringdown050_objectives	5657899	18	True	10	6	1	2026-06-12T06:29:24.448872+00:00
1007	outputs/experiments/1007_coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives	6013022	18	True	10	6	1	2026-06-12T06:29:45.314037+00:00
1008	outputs/experiments/1008_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx60_ringdown050_objectives	2248953	16	True	9	5	1	2026-06-11T00:30:34.222377+00:00
1009	outputs/experiments/1009_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx52p5_ringdown050_objectives	2136811	16	True	9	5	1	2026-06-11T00:30:30.432021+00:00
100	outputs/experiments/100_multi_rebar_target2_radius_objective_matrix_seed34	3175705	12	True	7	4	1	2026-06-11T00:56:01.066485+00:00
1010	outputs/experiments/1010_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx50_ringdown050_objectives	2208555	16	True	9	5	1	2026-06-11T00:30:26.595769+00:00
1011	outputs/experiments/1011_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx45_ringdown050_objectives	2215183	16	True	9	5	1	2026-06-11T00:30:22.793540+00:00
1012	outputs/experiments/1012_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources5_txrx60_ringdown050_objectives	2258659	16	True	9	5	1	2026-06-11T00:30:19.012448+00:00
1013	outputs/experiments/1013_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources7_txrx60_ringdown050_objectives	2201157	16	True	9	5	1	2026-06-11T00:30:15.224593+00:00
1014	outputs/experiments/1014_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources9_txrx60_ringdown050_objectives	2279984	16	True	9	5	1	2026-06-11T00:30:11.396697+00:00
1015	outputs/experiments/1015_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources9_txrx45_ringdown050_objectives	2199716	16	True	9	5	1	2026-06-11T00:30:07.630571+00:00
1016	outputs/experiments/1016_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources9_txrx65_ringdown050_objectives	2218319	16	True	9	5	1	2026-06-11T00:30:03.809715+00:00
1017	outputs/experiments/1017_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources11_txrx60_ringdown050_objectives	2198298	16	True	9	5	1	2026-06-11T00:30:00.007346+00:00
1018	outputs/experiments/1018_coordinate_optimizer_variable_depth_radius_seed5702887_target1_sources5_txrx60_ringdown050_objectives	2362194	16	True	9	5	1	2026-06-11T00:29:56.120190+00:00
1019	outputs/experiments/1019_coordinate_optimizer_variable_depth_radius_seed9227465_target0_sources8_txrx60_ringdown050_objectives	2172229	16	True	9	5	1	2026-06-11T00:29:52.369692+00:00
101	outputs/experiments/101_multi_rebar_target0_branch_objective_matrix_seed34	8418007	14	True	8	5	1	2026-06-11T00:56:00.939646+00:00
1020	outputs/experiments/1020_coordinate_optimizer_variable_depth_radius_seed9227465_target2_sources5_txrx60_ringdown050_objectives	2239593	16	True	9	5	1	2026-06-11T00:29:48.551466+00:00
1021	outputs/experiments/1021_coordinate_optimizer_variable_depth_radius_seed9227465_target1_sources5_txrx60_ringdown050_objectives	2330156	16	True	9	5	1	2026-06-11T00:29:44.763999+00:00
1022	outputs/experiments/1022_coordinate_optimizer_variable_depth_radius_seed9227465_target1_sources5_txrx52p5_ringdown050_objectives	2280142	16	True	9	5	1	2026-06-11T00:29:41.006217+00:00
1023	outputs/experiments/1023_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources8_txrx60_ringdown050_objectives	2186788	16	True	9	5	1	2026-06-11T00:29:37.223403+00:00
1024	outputs/experiments/1024_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources8_txrx52p5_ringdown050_objectives	2186272	16	True	9	5	1	2026-06-11T00:29:33.387719+00:00
1025	outputs/experiments/1025_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources9_txrx60_ringdown050_objectives	2120948	16	True	9	5	1	2026-06-11T00:29:29.539756+00:00
1026	outputs/experiments/1026_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources11_txrx60_ringdown050_objectives	2250319	16	True	9	5	1	2026-06-11T00:29:25.682803+00:00
1027	outputs/experiments/1027_coordinate_optimizer_variable_depth_radius_seed14930352_target2_sources5_txrx60_ringdown050_objectives	2252628	16	True	9	5	1	2026-06-11T00:29:21.897509+00:00
1028	outputs/experiments/1028_coordinate_optimizer_variable_depth_radius_seed14930352_target2_sources7_txrx60_ringdown050_objectives	2176777	16	True	9	5	1	2026-06-11T00:29:18.094646+00:00
1029	outputs/experiments/1029_coordinate_optimizer_variable_depth_radius_seed14930352_target1_sources5_txrx60_ringdown050_objectives	2330922	16	True	9	5	1	2026-06-11T00:29:14.281141+00:00
102	outputs/experiments/102_multi_rebar_target0_radius_objective_matrix_seed34	3159154	12	True	7	4	1	2026-06-11T00:56:00.813447+00:00
1030	outputs/experiments/1030_coordinate_optimizer_variable_depth_radius_seed24157817_target0_sources8_txrx60_ringdown050_objectives	2154038	16	True	9	5	1	2026-06-11T00:29:10.505525+00:00
1031	outputs/experiments/1031_coordinate_optimizer_variable_depth_radius_seed24157817_target2_sources5_txrx60_ringdown050_objectives	2199728	16	True	9	5	1	2026-06-11T00:29:06.702087+00:00
1032	outputs/experiments/1032_coordinate_optimizer_variable_depth_radius_seed24157817_target1_sources5_txrx60_ringdown050_objectives	2320407	16	True	9	5	1	2026-06-11T00:29:02.855418+00:00
1033	outputs/experiments/1033_coordinate_optimizer_variable_depth_radius_seed24157817_target1_sources5_txrx52p5_ringdown050_objectives	2253966	16	True	9	5	1	2026-06-11T00:28:59.083616+00:00
1034	outputs/experiments/1034_coordinate_optimizer_variable_depth_radius_seed39088169_target0_sources8_txrx60_ringdown050_objectives	2217422	16	True	9	5	1	2026-06-11T00:28:55.292928+00:00
1035	outputs/experiments/1035_coordinate_optimizer_variable_depth_radius_seed39088169_target2_sources5_txrx60_ringdown050_objectives	2184003	16	True	9	5	1	2026-06-11T00:28:51.460007+00:00
1036	outputs/experiments/1036_coordinate_optimizer_variable_depth_radius_seed39088169_target1_sources5_txrx60_ringdown050_objectives	2332104	16	True	9	5	1	2026-06-11T00:28:47.589384+00:00
1037	outputs/experiments/1037_coordinate_optimizer_variable_depth_radius_seed63245986_target0_sources8_txrx60_ringdown050_objectives	2192798	16	True	9	5	1	2026-06-11T00:28:43.779354+00:00
1038	outputs/experiments/1038_coordinate_optimizer_variable_depth_radius_seed63245986_target2_sources5_txrx60_ringdown050_objectives	2213836	16	True	9	5	1	2026-06-11T00:28:39.925377+00:00
1039	outputs/experiments/1039_coordinate_optimizer_variable_depth_radius_seed63245986_target1_sources5_txrx60_ringdown050_objectives	2297833	16	True	9	5	1	2026-06-11T00:28:36.071608+00:00
103	outputs/experiments/103_multi_rebar_target2_radius_objective_matrix_seed13	3078033	12	True	7	4	1	2026-06-11T00:56:00.686189+00:00
1040	outputs/experiments/1040_coordinate_optimizer_variable_depth_radius_seed63245986_target1_sources5_txrx52p5_ringdown050_objectives	2270965	16	True	9	5	1	2026-06-11T00:28:32.250842+00:00
1041	outputs/experiments/1041_coordinate_optimizer_variable_depth_radius_seed102334155_target0_sources8_txrx60_ringdown050_objectives	2234773	16	True	9	5	1	2026-06-11T00:28:28.439321+00:00
1042	outputs/experiments/1042_coordinate_optimizer_variable_depth_radius_seed102334155_target2_sources5_txrx60_ringdown050_objectives	2190200	16	True	9	5	1	2026-06-11T00:28:24.589821+00:00
1043	outputs/experiments/1043_coordinate_optimizer_variable_depth_radius_seed102334155_target2_sources7_txrx60_ringdown050_objectives	2221218	16	True	9	5	1	2026-06-11T00:28:20.718675+00:00
1044	outputs/experiments/1044_coordinate_optimizer_variable_depth_radius_seed102334155_target2_sources9_txrx60_ringdown050_objectives	2294524	16	True	9	5	1	2026-06-11T00:28:16.895949+00:00
1045	outputs/experiments/1045_coordinate_optimizer_variable_depth_radius_seed102334155_target1_sources5_txrx60_ringdown050_objectives	2291580	16	True	9	5	1	2026-06-11T00:28:13.087676+00:00
1046	outputs/experiments/1046_coordinate_optimizer_variable_depth_radius_seed102334155_target1_sources5_txrx52p5_ringdown050_objectives	2321971	16	True	9	5	1	2026-06-11T00:28:09.275684+00:00
1047	outputs/experiments/1047_coordinate_optimizer_variable_depth_radius_seed165580141_target0_sources8_txrx60_ringdown050_objectives	2181886	16	True	9	5	1	2026-06-11T00:28:05.453917+00:00
1048	outputs/experiments/1048_coordinate_optimizer_variable_depth_radius_seed165580141_target2_sources5_txrx60_ringdown050_objectives	2251638	16	True	9	5	1	2026-06-11T00:28:01.583469+00:00
1049	outputs/experiments/1049_coordinate_optimizer_variable_depth_radius_seed165580141_target1_sources5_txrx60_ringdown050_objectives	2302088	16	True	9	5	1	2026-06-11T00:27:57.766090+00:00
104	outputs/experiments/104_multi_rebar_target0_radius_objective_matrix_seed13	3064777	12	True	7	4	1	2026-06-11T00:56:00.559803+00:00
1050	outputs/experiments/1050_coordinate_optimizer_variable_depth_radius_seed267914296_target0_sources8_txrx60_ringdown050_objectives	2186903	16	True	9	5	1	2026-06-11T00:27:53.974962+00:00
1051	outputs/experiments/1051_coordinate_optimizer_variable_depth_radius_seed267914296_target0_sources8_txrx52p5_ringdown050_objectives	2210230	16	True	9	5	1	2026-06-11T00:27:50.132186+00:00
1052	outputs/experiments/1052_coordinate_optimizer_variable_depth_radius_seed267914296_target0_sources9_txrx60_ringdown050_objectives	2149699	16	True	9	5	1	2026-06-11T00:27:46.291066+00:00
1053	outputs/experiments/1053_coordinate_optimizer_variable_depth_radius_seed267914296_target2_sources5_txrx60_ringdown050_objectives	2247568	16	True	9	5	1	2026-06-11T00:27:42.432273+00:00
1054	outputs/experiments/1054_coordinate_optimizer_variable_depth_radius_seed267914296_target2_sources7_txrx60_ringdown050_objectives	2208291	16	True	9	5	1	2026-06-11T00:27:38.604103+00:00
1055	outputs/experiments/1055_coordinate_optimizer_variable_depth_radius_seed267914296_target2_sources9_txrx60_ringdown050_objectives	2260303	16	True	9	5	1	2026-06-11T00:27:34.780684+00:00
