run_number,run_dir,status,reason,inventory_path,figure_notes_path,animation_count,total_frames,animations
1052,outputs/experiments/1052_coordinate_optimizer_variable_depth_radius_seed267914296_target0_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1051,outputs/experiments/1051_coordinate_optimizer_variable_depth_radius_seed267914296_target0_sources8_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1050,outputs/experiments/1050_coordinate_optimizer_variable_depth_radius_seed267914296_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1049,outputs/experiments/1049_coordinate_optimizer_variable_depth_radius_seed165580141_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1048,outputs/experiments/1048_coordinate_optimizer_variable_depth_radius_seed165580141_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1047,outputs/experiments/1047_coordinate_optimizer_variable_depth_radius_seed165580141_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1046,outputs/experiments/1046_coordinate_optimizer_variable_depth_radius_seed102334155_target1_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1045,outputs/experiments/1045_coordinate_optimizer_variable_depth_radius_seed102334155_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1044,outputs/experiments/1044_coordinate_optimizer_variable_depth_radius_seed102334155_target2_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1043,outputs/experiments/1043_coordinate_optimizer_variable_depth_radius_seed102334155_target2_sources7_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1042,outputs/experiments/1042_coordinate_optimizer_variable_depth_radius_seed102334155_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1041,outputs/experiments/1041_coordinate_optimizer_variable_depth_radius_seed102334155_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1040,outputs/experiments/1040_coordinate_optimizer_variable_depth_radius_seed63245986_target1_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1039,outputs/experiments/1039_coordinate_optimizer_variable_depth_radius_seed63245986_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1038,outputs/experiments/1038_coordinate_optimizer_variable_depth_radius_seed63245986_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1037,outputs/experiments/1037_coordinate_optimizer_variable_depth_radius_seed63245986_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1036,outputs/experiments/1036_coordinate_optimizer_variable_depth_radius_seed39088169_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1035,outputs/experiments/1035_coordinate_optimizer_variable_depth_radius_seed39088169_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1034,outputs/experiments/1034_coordinate_optimizer_variable_depth_radius_seed39088169_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1033,outputs/experiments/1033_coordinate_optimizer_variable_depth_radius_seed24157817_target1_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1032,outputs/experiments/1032_coordinate_optimizer_variable_depth_radius_seed24157817_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1031,outputs/experiments/1031_coordinate_optimizer_variable_depth_radius_seed24157817_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1030,outputs/experiments/1030_coordinate_optimizer_variable_depth_radius_seed24157817_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1029,outputs/experiments/1029_coordinate_optimizer_variable_depth_radius_seed14930352_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1028,outputs/experiments/1028_coordinate_optimizer_variable_depth_radius_seed14930352_target2_sources7_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1027,outputs/experiments/1027_coordinate_optimizer_variable_depth_radius_seed14930352_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1026,outputs/experiments/1026_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources11_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1025,outputs/experiments/1025_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1024,outputs/experiments/1024_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources8_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1023,outputs/experiments/1023_coordinate_optimizer_variable_depth_radius_seed14930352_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1022,outputs/experiments/1022_coordinate_optimizer_variable_depth_radius_seed9227465_target1_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1021,outputs/experiments/1021_coordinate_optimizer_variable_depth_radius_seed9227465_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1020,outputs/experiments/1020_coordinate_optimizer_variable_depth_radius_seed9227465_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1019,outputs/experiments/1019_coordinate_optimizer_variable_depth_radius_seed9227465_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1018,outputs/experiments/1018_coordinate_optimizer_variable_depth_radius_seed5702887_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1017,outputs/experiments/1017_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources11_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1016,outputs/experiments/1016_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources9_txrx65_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1015,outputs/experiments/1015_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources9_txrx45_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1014,outputs/experiments/1014_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1013,outputs/experiments/1013_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources7_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1012,outputs/experiments/1012_coordinate_optimizer_variable_depth_radius_seed5702887_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1011,outputs/experiments/1011_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx45_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1010,outputs/experiments/1010_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx50_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1009,outputs/experiments/1009_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1008,outputs/experiments/1008_coordinate_optimizer_variable_depth_radius_seed5702887_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1007,outputs/experiments/1007_coordinate_optimizer_variable_depth_radius_seed3524578_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1006,outputs/experiments/1006_coordinate_optimizer_variable_depth_radius_seed3524578_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1005,outputs/experiments/1005_seed1346269_revised_txrx52p5_source_policy_summary,skipped,no existing true wavefield GIF,,,0,0,
1004,outputs/experiments/1004_coordinate_optimizer_variable_depth_radius_seed3524578_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1003,outputs/experiments/1003_coordinate_optimizer_variable_depth_radius_seed1346269_target1_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1002,outputs/experiments/1002_coordinate_optimizer_variable_depth_radius_seed1346269_target2_sources7_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1001,outputs/experiments/1001_coordinate_optimizer_variable_depth_radius_seed1346269_target2_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1000,outputs/experiments/1000_coordinate_optimizer_variable_depth_radius_seed1346269_target0_sources8_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
999,outputs/experiments/999_coordinate_optimizer_variable_depth_radius_seed832040_target1_sources9_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
998,outputs/experiments/998_coordinate_optimizer_variable_depth_radius_seed832040_target1_sources7_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
997,outputs/experiments/997_coordinate_optimizer_variable_depth_radius_seed832040_target1_sources5_txrx55_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
996,outputs/experiments/996_coordinate_optimizer_variable_depth_radius_seed832040_target1_sources5_txrx50_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
995,outputs/experiments/995_coordinate_optimizer_variable_depth_radius_seed832040_target1_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
994,outputs/experiments/994_seed2178309_txrx52p5_acquisition_policy_summary,skipped,no existing true wavefield GIF,,,0,0,
993,outputs/experiments/993_coordinate_optimizer_variable_depth_radius_seed2178309_target2_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
992,outputs/experiments/992_coordinate_optimizer_variable_depth_radius_seed2178309_target0_sources8_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
991,outputs/experiments/991_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources5_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
990,outputs/experiments/990_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources5_txrx57p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
989,outputs/experiments/989_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources5_txrx55_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
988,outputs/experiments/988_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources5_txrx45_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
987,outputs/experiments/987_coordinate_optimizer_variable_depth_radius_seed2178309_target1_sources5_txrx50_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
