run_number,run_dir,summary_path,status,reason,animation_path,context_summary_path,figure_notes_path,width_px,height_px,frame_count,unique_colors_midframe,nonwhite_fraction_midframe
1114,outputs/experiments/1114_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1114_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1114_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1114_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1114_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6809665791464554
1113,outputs/experiments/1113_coordinate_optimizer_variable_depth_radius_seed139583862445_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1113_coordinate_optimizer_variable_depth_radius_seed139583862445_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1113_coordinate_optimizer_variable_depth_radius_seed139583862445_target2_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1113_coordinate_optimizer_variable_depth_radius_seed139583862445_target2_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1113_coordinate_optimizer_variable_depth_radius_seed139583862445_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6831504638900838
1112,outputs/experiments/1112_coordinate_optimizer_variable_depth_radius_seed139583862445_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1112_coordinate_optimizer_variable_depth_radius_seed139583862445_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1112_coordinate_optimizer_variable_depth_radius_seed139583862445_target0_sources8_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1112_coordinate_optimizer_variable_depth_radius_seed139583862445_target0_sources8_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1112_coordinate_optimizer_variable_depth_radius_seed139583862445_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6821120885025473
1111,outputs/experiments/1111_coordinate_optimizer_variable_depth_radius_seed86267571272_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1111_coordinate_optimizer_variable_depth_radius_seed86267571272_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1111_coordinate_optimizer_variable_depth_radius_seed86267571272_target1_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1111_coordinate_optimizer_variable_depth_radius_seed86267571272_target1_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1111_coordinate_optimizer_variable_depth_radius_seed86267571272_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6806451772407893
1110,outputs/experiments/1110_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources11_txrx60_ringdown050_objectives,outputs/experiments/1110_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources11_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1110_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources11_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1110_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources11_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1110_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources11_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6828125798354092
1109,outputs/experiments/1109_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources9_txrx60_ringdown050_objectives,outputs/experiments/1109_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources9_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1109_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources9_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1109_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources9_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1109_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources9_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6807885719371635
1108,outputs/experiments/1108_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources7_txrx60_ringdown050_objectives,outputs/experiments/1108_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources7_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1108_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources7_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1108_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources7_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1108_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources7_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6814907114849262
1107,outputs/experiments/1107_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1107_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1107_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1107_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1107_coordinate_optimizer_variable_depth_radius_seed86267571272_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,254,0.6828191726950127
1106,outputs/experiments/1106_coordinate_optimizer_variable_depth_radius_seed86267571272_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1106_coordinate_optimizer_variable_depth_radius_seed86267571272_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1106_coordinate_optimizer_variable_depth_radius_seed86267571272_target0_sources8_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1106_coordinate_optimizer_variable_depth_radius_seed86267571272_target0_sources8_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1106_coordinate_optimizer_variable_depth_radius_seed86267571272_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6818071687458898
1105,outputs/experiments/1105_coordinate_optimizer_variable_depth_radius_seed53316291173_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1105_coordinate_optimizer_variable_depth_radius_seed53316291173_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1105_coordinate_optimizer_variable_depth_radius_seed53316291173_target1_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1105_coordinate_optimizer_variable_depth_radius_seed53316291173_target1_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1105_coordinate_optimizer_variable_depth_radius_seed53316291173_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6806748451090047
