velocity_m_per_ns,time_zero_ns,epsr,profile_score,mean_support_fraction,valid_cue_count,file
0.08,0.105,14.043049667762773,2.65589276079261,1.0,3,PROJECT001C__014.DZT
0.08,0.11,14.043049667762773,2.6512449054619562,1.0,3,PROJECT001C__014.DZT
0.08,0.115,14.043049667762773,2.646582350566973,1.0,3,PROJECT001C__014.DZT
0.08,0.12000000000000001,14.043049667762773,2.6417398261067504,1.0,3,PROJECT001C__014.DZT
0.08,0.125,14.043049667762773,2.6364300519045654,1.0,3,PROJECT001C__014.DZT
0.08,0.13,14.043049667762773,2.630751209893471,1.0,3,PROJECT001C__014.DZT
0.08,0.135,14.043049667762773,2.624448073750365,1.0,3,PROJECT001C__014.DZT
0.08,0.14,14.043049667762773,2.6179494762377504,1.0,3,PROJECT001C__014.DZT
0.08,0.14500000000000002,14.043049667762773,2.6113339338417947,1.0,3,PROJECT001C__014.DZT
0.08,0.15000000000000002,14.043049667762773,2.6046301284726128,1.0,3,PROJECT001C__014.DZT
0.08,0.15500000000000003,14.043049667762773,2.5979413514097196,1.0,3,PROJECT001C__014.DZT
0.08,0.15999999999999998,14.043049667762773,2.591241506865591,1.0,3,PROJECT001C__014.DZT
0.08,0.16499999999999998,14.043049667762773,2.5845679093409397,1.0,3,PROJECT001C__014.DZT
0.08,0.16999999999999998,14.043049667762773,2.577899200001825,1.0,3,PROJECT001C__014.DZT
0.08,0.175,14.043049667762773,2.571130084588787,1.0,3,PROJECT001C__014.DZT
0.08,0.18,14.043049667762773,2.5645599806028567,1.0,3,PROJECT001C__014.DZT
0.08,0.185,14.043049667762773,2.5577223772122264,1.0,3,PROJECT001C__014.DZT
0.08,0.19,14.043049667762773,2.5510127290256874,1.0,3,PROJECT001C__014.DZT
0.08,0.195,14.043049667762773,2.5440931004108718,1.0,3,PROJECT001C__014.DZT
0.08,0.2,14.043049667762773,2.5370299541174375,1.0,3,PROJECT001C__014.DZT
0.08,0.20500000000000002,14.043049667762773,2.5299581282979333,1.0,3,PROJECT001C__014.DZT
0.08,0.21000000000000002,14.043049667762773,2.522873219744019,1.0,3,PROJECT001C__014.DZT
0.08,0.21500000000000002,14.043049667762773,2.515645251205142,1.0,3,PROJECT001C__014.DZT
0.08,0.22000000000000003,14.043049667762773,2.5081492446525733,1.0,3,PROJECT001C__014.DZT
0.08,0.22500000000000003,14.043049667762773,2.500570100860958,1.0,3,PROJECT001C__014.DZT
0.08,0.23000000000000004,14.043049667762773,2.4926501365889346,1.0,3,PROJECT001C__014.DZT
0.08,0.23500000000000004,14.043049667762773,2.484652932740412,1.0,3,PROJECT001C__014.DZT
0.08,0.24,14.043049667762773,2.4766028578339307,1.0,3,PROJECT001C__014.DZT
0.08,0.245,14.043049667762773,2.4684198223051435,1.0,3,PROJECT001C__014.DZT
0.08,0.25,14.043049667762773,2.46040171397512,1.0,3,PROJECT001C__014.DZT
0.082,-0.05,13.366376840226318,2.8201186746700775,1.0,3,PROJECT001C__014.DZT
0.082,-0.045000000000000005,13.366376840226318,2.816481938311322,1.0,3,PROJECT001C__014.DZT
0.082,-0.04,13.366376840226318,2.8123968614906762,1.0,3,PROJECT001C__014.DZT
0.082,-0.035,13.366376840226318,2.808151781771978,1.0,3,PROJECT001C__014.DZT
0.082,-0.030000000000000002,13.366376840226318,2.803901323942844,1.0,3,PROJECT001C__014.DZT
